gene study_attention
PATL1 19
ORMDL1 45
NXPE4 1
ZKSCAN3 21
EXOC2 22
AGTPBP1 15
TMEM190 12
ISCA2 9
NUDT18 15
VSTM2L 2
ACBD6 6
MIB1 38
ENTPD6 8
BRI3 2
E2F2 6
BVES 3
ATP6V1B2 31
PSG3 8
HSPB2 103
ENGASE 2
P2RY13 1
PLCB4 4
KIF5A 36
XRCC1 57
MSX2 35
STIM1 38
KRT6A 45
RPAP2 33
TMED7 13
RPL3 95
DST 62
CAVIN4 3
PRKCQ 20
ABHD14A-ACY1 1
NAALADL2 12
HDDC3 11
C5orf38 1
RAB1B 27
SERINC5 1
PCDHB3 1
PCDHGB1 69
AKAP3 5
AJAP1 1
NUDT4 2
ZNF91 4
ZNF670 19
CLCN3 13
OLFM1 11
HECW1 8
GABBR2 5
GRB2 739
MBNL1 16
ZNF385A 3
REXO1 2
EFCAB6 1
C1orf198 13
SLC39A11 24
MAP4K2 12
KLRC2 5
ANXA2R 6
ESAM 8
CENPQ 40
TGS1 32
SMURF1 22
ZFP82 1
STXBP3 12
ALLC 2
GADD45B 18
NHP2 21
NACC2 1
DAGLA 11
SEZ6 3
SYNPO2L 6
ANKRD49 10
DGCR6L 21
ZNF534 3
AQP5 6
FRMD6 52
LMO1 108
CC2D1A 31
SLC45A2 11
FAM135B 2
ZPLD1 10
ASAP1 31
RAB5B 12
GPATCH11 16
KAT5 168
BANF1 26
STRN 60
BEND2 6
SCUBE3 1
C12orf50 2
PTMA 12
MYADML2 11
ARHGEF10 5
PARD6G 16
BAZ2B 11
ENPEP 2
GSTZ1 18
ZGRF1 3
NES 52
TMBIM6 84
CARNMT1 39
ADAR 38
PPP2R5A 29
ZNF584 1
SMPDL3A 2
GYG2 13
OR51E2 8
KCNH1 5
HDAC7 58
JMJD4 17
HYAL4 2
ZNF281 34
TMEM262 12
AK6 14
GLIPR1 1
ENPP2 1
RAP2B 9
GPR152 188
FST 15
MREG 6
POU2AF1 37
RAB21 24
PHAX 34
DSCC1 16
RAB33B 8
RNASE13 6
CCDC130 29
ARX 17
HACE1 6
LYSMD2 11
GTSE1 134
RELL2 37
NSMCE2 12
SYT15 6
SLC7A6OS 1
SCAND1 55
GAGE1 3
SSH1 16
NUF2 37
CD300A 7
CHIT1 4
FAM114A1 10
MBD3L2 8
PNMA2 51
SRPRA 40
FLRT2 1
GTF2A1L 1
UBE2I 157
GPN3 57
TBC1D8B 1
RNF181 21
DEFB4A 1
NAA80 5
CCND2 11
RYK 14
ALCAM 13
CHPF 7
ZKSCAN4 36
GDF15 13
RGS13 5
ALB 175
HS3ST3B1 1
SHPRH 15
FAM219A 29
TBC1D22B 145
IRX3 1
EXOC6B 15
IFT88 53
PURB 19
MESD 80
POLR2G 84
ENTHD1 1
ACAD9 68
KIR2DS3 1
NOP9 41
TTC30B 45
SNX4 20
TBPL1 15
FGF21 4
TMEM236 6
PPM1M 5
P2RY1 8
BRF2 55
NEB 27
MAD2L1 57
SCAMP5 26
TRAPPC10 28
PLD2 19
TEKT4 110
OR5AS1 1
CSF3 2
SLC35C2 86
RPH3A 12
CSNK1G3 30
UBE4B 10
CENPN 22
HLA-C 86
CNGB3 2
LAIR1 3
ST3GAL4 14
VEGFA 13
FCGRT 61
ADRB1 10
CPA2 7
EPS15L1 26
LIPT1 6
FANCC 31
MAGED4B 13
VCPIP1 36
UBOX5 17
PTPRT 10
OGT 86
AGAP11 2
OMA1 24
PRICKLE3 61
ZBTB45 3
NCLN 15
MYH8 9
SELENOH 5
CACNA2D2 13
FNDC3B 54
TBC1D2 9
LNX1 369
IRF2BPL 7
CAB39 29
ADK 1
UBE2A 29
ANPEP 3
GLYCTK 54
ARF6 134
ARHGAP5 3
H2AP 9
COX6B2 3
SPATA5L1 23
EIF1B 165
IQCF2 1
SYT6 31
PPP1CB 217
TOP1MT 7
CPXM1 1
SSC5D 19
GCDH 21
ADGRD1 1
EGFL7 27
EMC8 22
APOA5 15
CFDP1 7
ZNF845 3
ASH2L 51
COG5 30
CASK 45
NDST1 7
PIGK 10
SGCB 25
RSPH1 1
CHMP7 6
MBD6 7
CTC1 16
GNG7 8
SLITRK4 1
VSX1 7
HMGN3 4
